elapsed;gap;fitness;solution
6.60s;2.62418%;1095;[[3, 79, 29, 24, 25, 55, 54, 26, 53], [4, 39, 67, 23, 56], [6, 5, 84, 17, 45, 83, 60, 89], [12, 80, 68, 77, 76, 28], [13, 87, 97, 95, 94], [18, 8, 46, 36, 49, 64, 11, 62, 88], [21, 72, 75, 41, 22, 74, 73, 40], [27, 69, 1, 20, 66, 65, 71, 51], [31, 10, 63, 90, 32, 30, 70], [42, 14, 44, 38, 43, 15, 57, 2, 58], [50, 33, 81, 9, 35, 34, 78], [52, 7, 19, 47, 48, 82], [61, 16, 86, 91, 100, 98, 37, 92], [96, 59, 85, 93, 99]]
5.69s;3.37395%;1103;[[1, 51, 9, 81, 33, 50], [3, 79, 29, 24, 54, 26, 53], [6, 61, 98, 37, 100, 42, 43, 15, 57, 2, 58], [12, 80, 68, 77, 76, 28], [13, 87, 97, 95, 94], [16, 86, 38, 14, 44, 91, 92], [18, 8, 46, 36, 49, 64, 11, 62, 88], [27, 20, 66, 71, 65, 35, 34, 78], [31, 10, 63, 90, 32, 30, 70, 69], [40, 21, 73, 4, 39, 67, 25, 55], [41, 22, 75, 23, 56, 74, 72], [52, 7, 19, 47, 48, 82], [59, 85, 93, 99, 96], [83, 45, 17, 84, 5, 60, 89]]
6.08s;2.99906%;1099;[[1, 51, 9, 81, 33, 50], [4, 39, 67, 23], [6, 96, 99, 93, 98, 100, 37, 92, 59], [13, 87, 97, 95, 94], [18, 8, 46, 36, 49, 64, 11, 62, 88], [21, 72, 56, 75, 22, 41, 74, 73, 40], [26, 54, 55, 25, 24, 29, 79, 3, 77], [27, 20, 66, 65, 71, 35, 34, 78], [28, 76, 68, 80, 12, 53], [31, 10, 63, 90, 32, 30, 70, 69], [52, 7, 19, 47, 48, 82], [58, 2, 57, 15, 43, 42, 14, 38, 44, 91], [61, 86, 16, 85], [83, 45, 17, 84, 5, 60, 89]]
6.06s;3.09278%;1100;[[1, 50, 33, 81, 34, 78, 79], [4, 39, 23, 67, 25, 55], [6, 16, 86, 38, 44, 99, 96], [13, 97, 92, 59, 95, 94], [18, 83, 45, 17, 84, 5, 60, 89], [26, 12, 28], [27, 19, 47, 48, 7, 52], [31, 10, 63, 90, 32, 30, 70], [40, 21, 72, 56, 75, 22, 41, 74, 73], [51, 9, 35, 65, 71, 66, 20, 69], [53, 58, 2, 57, 15, 43, 14, 42, 87], [68, 80, 54, 24, 29, 3, 77, 76], [82, 8, 46, 36, 49, 64, 11, 62, 88], [93, 61, 85, 91, 100, 37, 98]]
5.57s;3.74883%;1107;[[4, 39, 67, 23, 56], [6, 61, 16, 86, 91, 100, 37, 98, 92], [10, 63, 90, 32, 66, 65, 71], [13, 87, 97, 95, 94], [18, 8, 46, 36, 49, 64, 11, 62, 88], [27, 69, 1, 51, 9, 81, 33, 50], [28, 12, 80, 68], [31, 70, 30, 20, 35, 34, 78, 79], [40, 21, 72, 75, 41, 22, 74, 73], [42, 14, 44, 38, 43, 15, 57, 2, 58], [52, 7, 19, 47, 48, 82], [53, 26, 54, 55, 25, 24, 29, 3, 77, 76], [59, 85, 93, 99, 96], [83, 45, 17, 84, 5, 60, 89]]
7.07s;2.7179%;1096;[[4, 55, 25, 67, 39, 56, 21, 40], [6, 96, 99, 5, 84, 17, 45, 83, 60, 89], [13, 95, 97, 92, 59, 94], [18, 8, 46, 36, 49, 64, 11, 62, 88], [20, 66, 71, 65, 35, 9, 51], [26, 12, 80, 68, 28], [27, 1, 81, 33, 50], [31, 10, 63, 90, 32, 30, 70, 69], [37, 44, 38, 86, 16, 61], [52, 7, 19, 47, 48, 82], [53, 58, 2, 57, 15, 43, 14, 42, 87], [54, 24, 29, 34, 78, 79, 3, 77, 76], [72, 75, 23, 41, 22, 74, 73], [93, 85, 91, 100, 98]]
5.98s;2.81162%;1097;[[2, 57, 15, 43, 38, 86, 16, 61], [3, 79, 78, 34, 29, 24, 25, 55, 54, 26], [4, 39, 67, 23, 56], [6, 96, 99, 5, 84, 17, 45, 83, 60, 89], [8, 46, 36, 49, 64, 63, 90, 32, 10], [12, 80, 68, 77, 76, 28], [18, 82, 48, 7, 52], [27, 1, 51, 9, 81, 33, 50], [31, 62, 11, 19, 47, 88], [35, 71, 65, 66, 20, 30, 70, 69], [40, 21, 72, 75, 22, 41, 74, 73], [53, 58, 13, 95, 94], [59, 93, 85, 98], [87, 42, 14, 44, 91, 100, 37, 92, 97]]
7.09s;3.46767%;1104;[[1, 71, 65, 66, 20, 30, 70, 69], [2, 57, 15, 43, 38, 86, 16, 61], [4, 39, 67, 23, 56], [6, 96, 99, 93, 98, 100, 37, 59], [12, 3, 79, 77, 76, 28], [13, 87, 97, 95, 94], [18, 8, 46, 36, 49, 64, 11, 62, 88], [21, 72, 75, 41, 22, 74, 73, 40], [27, 32, 90, 63, 10, 31], [50, 33, 81, 78, 34, 35, 9, 51], [52, 7, 19, 47, 48, 82], [53, 26, 54, 55, 25, 24, 29, 68, 80], [58, 42, 14, 44, 91, 85, 92], [60, 83, 45, 17, 84, 5, 89]]
6.62s;2.53046%;1094;[[2, 57, 42, 14, 44, 38, 43, 15, 41, 22], [6, 96, 99, 93, 5, 84, 17, 45, 83, 60], [13, 95, 97, 87, 58], [18, 8, 46, 36, 49, 64, 11, 62, 88], [20, 66, 65, 71, 35, 34, 78, 29, 24, 80], [21, 72, 56, 23, 75, 74, 73], [27, 1, 51, 9, 81, 33, 50], [28, 12, 26, 53], [31, 10, 63, 90, 32, 30, 70, 69], [40, 4, 39, 67, 25, 55, 54], [52, 7, 19, 47, 48, 82], [59, 85, 98, 94], [68, 79, 3, 77, 76], [89, 61, 16, 86, 91, 100, 37, 92]]
6.32s;2.53046%;1094;[[1, 51, 71, 65, 66, 20, 30], [3, 79, 29, 24, 25, 55, 54, 26], [4, 39, 67, 23, 56], [5, 84, 17, 45, 83, 60, 89], [6, 96, 99, 93, 85, 91, 100, 37], [12, 80, 68, 77, 76, 28], [13, 95, 97, 92, 59, 94], [18, 8, 46, 36, 49, 64, 11, 62, 88], [27, 69, 70, 32, 90, 63, 10, 31], [40, 21, 72, 75, 22, 41, 74, 73], [50, 33, 81, 9, 35, 34, 78], [52, 7, 19, 47, 48, 82], [53, 58, 2, 57, 15, 43, 14, 42, 87], [61, 16, 86, 38, 44, 98]]

avg_time;avg_ans;best_ans;worst_ans;avg_gap;best_gap;worst_gap
6.37s;1096.07;1085;1107;2.72415%;1.68697%;3.74883%
