elapsed;gap;fitness;solution
3.40s;1.41804%;1788;[[1, 7, 21, 40], [3, 74, 29, 5, 44, 12, 13], [10, 63, 11, 24, 6, 62], [20, 75, 57, 19, 26, 35, 65, 69, 56, 47, 25, 64], [23, 59, 27, 17, 31, 60, 39], [30, 78, 61, 16, 43, 68, 8, 37, 2, 34], [38, 58, 32, 4, 22, 45], [42, 53, 70, 67, 66, 36, 73, 49], [50, 76, 72, 54, 9, 55, 33, 15, 41, 46, 77, 51], [52, 28, 79, 18, 48, 14, 71]]
6.98s;2.21214%;1802;[[1, 7, 21, 40], [2, 37, 8, 43, 16, 61, 68, 78, 30], [10, 63, 11, 34, 24, 6, 62], [13, 3, 74, 60, 39, 77, 51], [14, 48, 18, 79, 28, 52, 71], [17, 31, 46, 25, 41, 55, 9, 54], [23, 59, 27, 5, 44, 12, 42], [29, 20, 75, 57, 19, 26, 35, 65, 69, 56, 47, 15, 33, 64], [36, 53, 67, 66, 70, 38, 73, 49], [58, 32, 4, 22, 45, 50, 72, 76]]
4.55s;2.32558%;1804;[[1, 7, 21, 40], [3, 39, 60, 31, 17, 74], [5, 78, 61, 16, 43, 68, 8, 37, 2, 34], [10, 71, 28, 79, 18, 48, 14], [12, 44, 23, 11, 52, 63], [13, 20, 75, 57, 19, 47, 26, 35, 65, 69, 56, 33, 64], [29, 27, 59, 30, 6, 24, 62], [38, 54, 9, 55, 15, 41, 25, 46], [42, 51, 77, 53, 70, 67, 66, 36, 73, 49], [58, 32, 4, 22, 45, 50, 72, 76]]
2.95s;2.66591%;1810;[[1, 7, 21, 40], [2, 37, 8, 68, 43, 16, 61, 78, 13], [3, 74, 5, 44, 12, 62], [10, 71, 28, 79, 18, 48, 14], [17, 20, 75, 57, 19, 26, 35, 65, 69, 56, 47], [23, 30, 6, 24, 34, 52, 11, 63], [29, 27, 59, 31, 60, 39, 77, 51, 42], [32, 4, 22, 45, 50, 76, 67], [36, 66, 70, 58, 38, 73, 49], [53, 64, 46, 25, 41, 15, 33, 55, 9, 54, 72]]
3.71s;2.83607%;1813;[[3, 39, 60, 29, 74], [5, 78, 61, 16, 43, 68, 8, 37, 2, 34], [10, 71, 63, 62, 23, 44, 12], [11, 52, 28, 79, 18, 48, 14], [13, 17, 31, 27, 59, 30, 6, 24], [20, 75, 57, 19, 26, 35, 65, 69, 56, 47, 15, 33, 64], [36, 53, 67, 66, 70, 38, 49], [40, 21, 7, 1, 42], [50, 45, 22, 4, 32, 58, 73], [51, 77, 46, 25, 41, 55, 9, 54, 72, 76]]
4.30s;2.72263%;1811;[[1, 7, 21, 40], [2, 37, 8, 68, 43, 16, 61, 78, 13], [3, 39, 60, 31, 17, 74], [10, 11, 34, 24, 6, 30, 59, 27, 29], [12, 44, 5, 23, 63, 62], [20, 75, 57, 19, 47, 26, 35, 65, 69, 56, 55, 64], [38, 58, 32, 4, 22, 45], [42, 51, 77, 53, 70, 67, 66, 36, 73, 49], [46, 25, 41, 15, 33, 9, 54, 72, 76, 50], [52, 28, 79, 18, 48, 14, 71]]
3.31s;2.8928%;1814;[[1, 7, 21, 40], [3, 39, 60, 74, 13], [10, 71, 28, 79, 18, 48, 14], [12, 44, 5, 6, 24, 23, 62], [17, 31, 61, 16, 43, 68, 59, 27, 29], [20, 75, 57, 19, 26, 35, 65, 69, 56, 47, 41, 64], [30, 78, 8, 37, 2, 34, 52, 11, 63], [38, 58, 32, 4, 22, 45], [42, 51, 77, 53, 70, 66, 67, 36, 73, 49], [46, 25, 15, 33, 55, 9, 54, 72, 76, 50]]
3.17s;2.77935%;1812;[[1, 7, 21, 40], [10, 71, 28, 79, 18, 48, 14], [12, 44, 5, 29, 17, 31, 74, 13], [27, 59, 30, 6, 24, 23, 62], [36, 66, 67, 70, 58, 38, 73], [42, 51, 77, 3, 60, 39, 53], [43, 16, 61, 20, 75, 25, 46, 41, 15, 33, 64], [49, 32, 4, 22, 45, 50, 76], [57, 19, 47, 26, 35, 65, 69, 56, 55, 9, 54, 72], [63, 11, 52, 34, 2, 37, 8, 68, 78]]

avg_time;avg_ans;best_ans;worst_ans;avg_gap;best_gap;worst_gap
4.00s;1804.10;1788;1815;2.33125%;1.41804%;2.94952%
